Afghanistan,31056997,2
Algeria,32930091,17
Argentina,39921833,196
Armenia,2976372,16
Australia,20264082,985
Austria,8192880,208
Azerbaijan,7961619,44
Bahrain,698585,3
Barbados,279912,1
Belarus,10293011,139
Belgium,10379067,57
Botswana,1639833,1
Brazil,188078227,394
Bulgaria,7385367,219
Burundi,8090068,2
Cameroon,17340702,21
Canada,33098932,836
Chile,16134219,23
China,1313973713,901
Colombia,43593035,24
Costa Rica,4075261,4
Cote d'Ivoire,17654843,3
Croatia,4494749,149
Cuba,11382820,343
Cyprus,784301,1
Czech Republic,10235455,134
Denmark,5450661,193
Djibouti,486530,1
Dominican Republic,9183984,7
Ecuador,13547510,2
Egypt,78887007,12
Eritrea,4786994,1
Estonia,1324333,25
Ethiopia,74777981,47
Fiji,905949,13
Finland,5231372,354
France,60876136,697
Gabon,1424906,1
Georgia,4661473,32
Germany,82422299,1185
Ghana,22409572,20
Greece,10688058,84
Grenada,89703,2
Guatemala,12293545,1
Guyana,767245,1
Hong Kong,6940432,2
Hungary,9981334,363
Iceland,299388,16
India,1095351995,30
Indonesia,245452739,27
Iran,68688433,39
Ireland,4062235,22
Israel,6352117,9
Italy,58133509,724
Jamaica,2758124,142
Japan,127463611,551
Jordan,5906760,1
Kazakhstan,15233244,77
Kenya,34707817,81
Kuwait,2418393,2
Kyrgyzstan,5213898,3
Latvia,2274735,22
Lebanon,3874050,1
Liechtenstein,33987,7
Lithuania,3585906,61
Luxembourg,474413,2
Macedonia,2050554,1
Malaysia,24385858,12
Mauritius,1240827,1
Mexico,107449525,63
Moldova,4466706,8
Mongolia,2832224,20
Morocco,33241259,22
Mozambique,19686505,2
Namibia,2044147,4
Netherlands,16491461,617
Netherlands Antilles,221736,1
New Zealand,4076140,160
Niger,12525094,1
Nigeria,131859731,97
Norway,4610820,454
Pakistan,165803560,33
Panama,3191319,1
Paraguay,6506464,17
Peru,28302603,14
Philippines,89468677,4
Poland,38536869,244
Portugal,10605870,17
Puerto Rico,3927188,7
Qatar,885359,5
Romania,22303552,462
Russia,142893540,1100
Saudi Arabia,27019731,6
Senegal,11987121,1
Serbia,9396411,85
Singapore,4492150,8
Slovakia,5439448,47
Slovenia,2010347,48
South Africa,44187637,56
Spain,40397842,428
Sri Lanka,20222240,1
Sudan,41236378,1
Suriname,439117,2
Sweden,9016596,515
Switzerland,7523934,197
Syria,18881361,3
Tajikistan,7320815,4
Tanzania,37445392,2
Thailand,64631595,29
Togo,5548702,1
Tonga,114689,1
Tunisia,10175014,8
Turkey,70413958,53
Uganda,28195754,3
Ukraine,46710816,197
United Arab Emirates,2602713,2
United States,298444215,2702
Uruguay,3431932,1
Uzbekistan,27307134,34
Venezuela,25730435,11
Vietnam,84402966,4
Zambia,11502010,2
Zimbabwe,12236805,22
